"","loglik","p1","p2","larv","pup","mu.p","S","mud.p","pupae.zero"
"87",2169.91676293235,0.242755671144606,0.0177299447688477,0.0833333333333333,0.0222222222222222,0.0025,4,1e-05,50
"88",2050.09394607759,0.249060545011661,0.0269912865694078,0.125,0.02,0.0025,4,1e-05,50
"89",2077.20262939854,0.25751088301036,0.021834368678191,0.1,0.02,0.0025,4,1e-05,50
"90",2109.15218086501,0.276021060071528,0.0193360629791765,0.0833333333333333,0.02,0.0025,4,1e-05,50
"91",2221.8014657582,0.259800561256849,0.0348428302314809,0.125,0.0333333333333333,0.006,4,1e-05,50
"92",2257.83809356454,0.286990432830226,0.0296394692477701,0.1,0.0333333333333333,0.006,4,1e-05,50
"93",2282.11734773624,0.297309035004705,0.0249177524047199,0.0833333333333333,0.0333333333333333,0.006,4,1e-05,50
"94",2144.01167818355,0.262546600900618,0.0278877958029275,0.125,0.0222222222222222,0.006,4,1e-05,50
"95",2172.22785099284,0.277185954319773,0.0230889875646412,0.1,0.0222222222222222,0.006,4,1e-05,50
"96",2198.00859418471,0.280498994734653,0.0188726306798258,0.0833333333333333,0.0222222222222222,0.006,4,1e-05,50
"97",2111.00401882666,0.267887364592971,0.026103704788526,0.125,0.02,0.006,4,1e-05,50
"98",2147.88331582762,0.267645335536749,0.0204659162924905,0.1,0.02,0.006,4,1e-05,50
"99",2183.29975229219,0.272509325480919,0.0169474158040561,0.0833333333333333,0.02,0.006,4,1e-05,50
"100",2266.33601067166,0.283303644380566,0.033911720048256,0.125,0.0333333333333333,0.01,4,1e-05,50
"101",2299.68529770325,0.298159402241845,0.0276103577602756,0.1,0.0333333333333333,0.01,4,1e-05,50
"102",2327.22795155386,0.30092805227905,0.0228137757844411,0.0833333333333333,0.0333333333333333,0.01,4,1e-05,50
"103",2196.86970344106,0.267221351227087,0.0252969087368914,0.125,0.0222222222222222,0.01,4,1e-05,50
"104",2231.64801331399,0.282212655363588,0.0206637757678626,0.1,0.0222222222222222,0.01,4,1e-05,50
"105",2260.17535291491,0.290245788758226,0.0174442003043161,0.0833333333333333,0.0222222222222222,0.01,4,1e-05,50
"106",2188.67286671437,0.263068635787458,0.0227768042039707,0.125,0.02,0.01,4,1e-05,50
